plot_id,center_x,center_y,radius,target_cbh
assumed_1,572502.406,4978918.094,11.28,
assumed_2,572630.812,4978918.094,11.28,
assumed_3,572759.218,4978918.094,11.28,
assumed_4,572887.624,4978918.094,11.28,
assumed_5,572502.406,4979022.068,11.28,
assumed_6,572630.812,4979022.068,11.28,
assumed_7,572759.218,4979022.068,11.28,
assumed_8,572887.624,4979022.068,11.28,
assumed_9,572502.406,4979126.042,11.28,
assumed_10,572630.812,4979126.042,11.28,
assumed_11,572759.218,4979126.042,11.28,
assumed_12,572887.624,4979126.042,11.28,
assumed_13,572502.406,4979230.016,11.28,
assumed_14,572630.812,4979230.016,11.28,
assumed_15,572759.218,4979230.016,11.28,
assumed_16,572887.624,4979230.016,11.28,
